group,Sensitivity,Specificity,Accuracy,ppv,npv,variable
Unknown,19.7,86.9,76.9,21.0,86.0,Precision Medicine
Unknown,86.8,91.7,90.7,73.1,96.4,Diabetes
Unknown,79.9,71.4,79.6,98.8,10.4,Primary Study
Unknown,-,-,54.6,-,-,"Overall Conditions (Precision Medicine, Diabetes, Primary Study)"
Unknown,-,-,75.5,-,-,Source Population
ca,84.6,95.1,90.9,84.6,95.1,Precision Medicine
ca,94.4,69.4,76.4,60.7,96.2,Diabetes
ca,98.1,-,96.4,-,0.0,Primary Study
ca,-,-,67.3,-,-,"Overall Conditions (Precision Medicine, Diabetes, Primary Study)"
ca,-,-,18.2,-,-,Source Population
cee,93.5,93.3,93.4,87.9,96.6,Precision Medicine
cee,97.3,70.4,81.3,69.2,97.4,Diabetes
cee,97.7,100.0,97.8,100.0,60.0,Primary Study
cee,-,-,74.7,-,-,"Overall Conditions (Precision Medicine, Diabetes, Primary Study)"
cee,-,-,97.8,-,-,Source Population
ea,90.5,76.5,85.3,86.7,82.5,Precision Medicine
ea,94.0,77.4,88.0,88.0,88.0,Diabetes
ea,99.4,70.0,97.5,98.3,87.5,Primary Study
ea,-,-,73.0,-,-,"Overall Conditions (Precision Medicine, Diabetes, Primary Study)"
ea,-,-,93.5,-,-,Source Population
lac,92.4,78.6,88.2,90.7,82.1,Precision Medicine
lac,88.3,74.6,83.2,85.4,79.1,Diabetes
lac,98.1,53.3,96.1,98.1,53.3,Primary Study
lac,-,-,70.9,-,-,"Overall Conditions (Precision Medicine, Diabetes, Primary Study)"
lac,-,-,90.6,-,-,Source Population
mena,96.3,100.0,98.8,100.0,98.1,Precision Medicine
mena,95.3,86.5,91.2,89.1,94.1,Diabetes
mena,96.2,100.0,96.2,100.0,25.0,Primary Study
mena,-,-,87.5,-,-,"Overall Conditions (Precision Medicine, Diabetes, Primary Study)"
mena,-,-,77.5,-,-,Source Population
na,93.0,89.9,91.7,92.2,90.9,Precision Medicine
na,94.4,73.8,88.2,89.4,84.9,Diabetes
na,97.3,78.9,95.6,97.8,75.0,Primary Study
na,-,-,77.9,-,-,"Overall Conditions (Precision Medicine, Diabetes, Primary Study)"
na,-,-,91.2,-,-,Source Population
sa,91.5,85.4,89.7,94.0,80.0,Precision Medicine
sa,93.7,65.2,85.6,87.1,80.6,Diabetes
sa,94.3,80.0,92.6,97.8,60.0,Primary Study
sa,-,-,73.4,-,-,"Overall Conditions (Precision Medicine, Diabetes, Primary Study)"
sa,-,-,89.1,-,-,Source Population
seap,88.9,93.0,91.4,88.9,93.0,Precision Medicine
seap,93.3,72.0,85.7,85.7,85.7,Diabetes
seap,100.0,50.0,98.6,98.6,100.0,Primary Study
seap,-,-,77.1,-,-,"Overall Conditions (Precision Medicine, Diabetes, Primary Study)"
seap,-,-,100.0,-,-,Source Population
ssa,100.0,85.7,92.9,87.5,100.0,Precision Medicine
ssa,100.0,58.3,82.1,76.2,100.0,Diabetes
ssa,100.0,50.0,96.4,96.3,100.0,Primary Study
ssa,-,-,71.4,-,-,"Overall Conditions (Precision Medicine, Diabetes, Primary Study)"
ssa,-,-,100.0,-,-,Source Population
we,90.2,89.8,90.0,86.0,93.0,Precision Medicine
we,97.6,74.6,84.0,72.7,97.8,Diabetes
we,91.3,75.0,90.0,97.7,42.9,Primary Study
we,-,-,67.0,-,-,"Overall Conditions (Precision Medicine, Diabetes, Primary Study)"
we,-,-,78.0,-,-,Source Population
