Sensitivity,Specificity,Accuracy,ppv,npv,variable,Scenario
0.7,0.9,0.8,0.875,0.75,Precision Medicine,Scenario1
1.0,0.4444444444444444,0.75,0.6875,1.0,Diabetes,Scenario1
1.0,,1.0,,,Primary Study,Scenario1
,,0.65,,,Source Population,Scenario1
0.7,0.9,0.8,0.875,0.75,Precision Medicine,Scenario2
1.0,0.4444444444444444,0.75,0.6875,1.0,Diabetes,Scenario2
1.0,,1.0,,,Primary Study,Scenario2
,,0.65,,,Source Population,Scenario2
0.7,0.9,0.8,0.875,0.75,Precision Medicine,Scenario3
1.0,0.4444444444444444,0.75,0.6875,1.0,Diabetes,Scenario3
1.0,,1.0,,,Primary Study,Scenario3
,,0.65,,,Source Population,Scenario3
0.8,0.9,0.85,0.8888888888888888,0.8181818181818182,Precision Medicine,Scenario4
1.0,0.4444444444444444,0.75,0.6875,1.0,Diabetes,Scenario4
1.0,,1.0,,,Primary Study,Scenario4
,,0.65,,,Source Population,Scenario4
