combined_category,Unknown,ca,cee,ea,lac,mena,na,sa,seap,ssa,we
no_no_no,79,1,1,9,7,2,19,5,1,4,10
no_no_yes,214,6,51,70,67,18,50,26,20,9,25
no_yes_no,1,2,5,13,1,1,11,15,3,1,9
no_yes_not determined,1,0,0,0,0,0,0,0,0,0,0
no_yes_yes,48,3,30,88,52,36,56,50,35,16,30
yes_no_no,3,0,0,1,3,0,5,4,0,0,4
yes_no_unknown,0,0,0,0,1,0,0,0,0,0,0
yes_no_yes,16,0,13,67,67,7,34,31,10,4,12
yes_yes_no,0,0,1,9,10,0,12,13,3,2,4
yes_yes_not determinable,0,0,0,0,0,0,0,1,0,0,0
yes_yes_yes,19,2,42,206,187,17,134,165,36,21,52
