PMID,Title,Abstract,MeSH,orig_precision_medicine,orig_diabetes,orig_source_population,orig_primary_study,pubmed_source_population,pmid,title,gpt_precision_medicine,gpt_diabetes,gpt_primary_study,gpt_source_population,Unnamed: 6,source_population_match
28519964,Association between serum 25-hydroxyvitamin D and glycated hemoglobin levels in type 2 diabetes patients with chronic kidney disease,"Aims/introduction: Vitamin D is suggested to influence glucose homeostasis. An inverse relationship between serum 25-hydroxyvitamin D (25[OH]D) and glycemic control in non-chronic kidney disease (CKD) patients with type 2 diabetes was reported. We aimed to examine this association among type 2 diabetes patients with CKD._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Materials and methods: A total of 100 type 2 diabetes participants with stage 3-4 CKD were recruited. Blood for glycated hemoglobin (HbA1c ), serum 25(OH)D, renal and lipid profiles were drawn at enrollment. Correlation and regression analyses were carried out to assess the relationship of serum 25(OH)D, HbA1c and other metabolic traits._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Results: A total of 30, 42, and 28% of participants were in CKD stage 3a, 3b and 4, respectively. The proportions of participants based on ethnicity were 51% Malay, 24% Chinese and 25% Indian. The mean (Â±SD) age and body mass index were 60.5 Â± 9.0 years and 28.3 Â± 5.9 kg/m2 , whereas mean HbA1c and serum 25(OH)D were 7.9 Â± 1.6% and 37.1 Â± 22.2 nmol/L. HbA1c was negatively correlated with serum 25(OH)D (rs = -0.314, P = 0.002), but positively correlated with body mass index (rs = 0.272, P = 0.006) and serum low-density lipoprotein cholesterol (P = 0.006). There was a significant negative correlation between serum 25(OH)D and total daily dose of insulin prescribed (rs = -0.257, P = 0.042). Regression analyses showed that every 10-nmol/L decline in serum 25(OH)D was associated with a 0.2% increase in HbA1c ._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Conclusions: Lower serum 25(OH)D was associated with poorer glycemic control and higher insulin use among multi-ethnic Asians with type 2 diabetes and stage 3-4 CKD.","Aged, Asian People, Cross-Sectional Studies, Diabetes Mellitus, Type 2, Female, Glycated Hemoglobin, Humans, Male, Middle Aged, Renal Insufficiency, Chronic, Vitamin D, Vitamin D Deficiency",no,yes,sa,yes,SA,28519964.0, Association between serum 25-hydroxyvitamin D and glycated hemoglobin levels in type 2 diabetes patients with chronic kidney disease ,no,yes,yes,seap,,False
14729856,Differential effects of the C1431T and Pro12Ala PPARgamma gene variants on plasma lipids and diabetes risk in an Asian population,"We investigated the association of C1431T and Pro12Ala polymorphisms at the peroxisome proliferator-activated receptor gamma (PPARgamma) locus with plasma lipids and insulin resistance-related variables, according to diabetes status, in a large and representative Asian population from Singapore consisting of 2,730 Chinese, 740 Malays, and 568 Indians. Moreover, we estimated the diabetes risk and examined gene-nutrient interactions between these variants and the ratio of polyunsaturated fatty acid to saturated fat (SFA) in determining body mass index (BMI) and fasting insulin. We found differential effects of these gene variants. The Pro12Ala polymorphism was more associated with plasma lipids and fasting glucose concentrations, whereas the C1431T polymorphism was related to the risk of diabetes. Carriers of the 12Ala allele had higher HDL-cholesterol than did Pro12Pro homozygotes (P < 0.05), and the effect of the 12Ala allele on fasting glucose was modified by diabetes status (P < 0.001). After controlling for confounders, carriers of the T allele had decreased risk of diabetes compared with CC homozygotes [odds ratio (OR) 0.73, 95% confidence interval (CI) 0.58-0.93; P = 0.011]; this effect was stronger in Indians (OR 0.38, 95% CI 0.15-0.92; P = 0.032). For both polymorphisms, normal subjects carrying the less prevalent allele had higher BMI (P < 0.05). The PUFA/SFA did not modify the effect of these polymorphisms on BMI or insulin.","Adult, Asia, Blood Glucose, Body Mass Index, Diabetes Mellitus, Fatty Acids, Fatty Acids, Unsaturated, Female, Humans, Insulin, Insulin Resistance, Lipids, Male, Middle Aged, Mutation, Missense, PPAR gamma, Polymorphism, Single Nucleotide, Risk Factors",yes,yes,sa,yes,SA,14729856.0, Differential effects of the C1431T and Pro12Ala PPARgamma gene variants on plasma lipids and diabetes risk in an Asian population ,yes,yes,yes,seap,,False
34605849,Association of Statin Therapy Initiation With Diabetes Progression: A Retrospective Matched-Cohort Study,"Statin therapy has been associated with increased insulin resistance; however, its clinical implications for diabetes control among patients with diabetes is unknown.To assess diabetes progression after initiation of statin use in patients with diabetes.This was a retrospective matched-cohort study using new-user and active-comparator designs to assess associations between statin initiation and diabetes progression in a national cohort of patients covered by the US Department of Veterans Affairs from fiscal years 2003-2015. Patients included were 30 years or older; had been diagnosed with diabetes during the study period; and were regular users of the Veterans Affairs health system, with records of demographic information, clinical encounters, vital signs, laboratory data, and medication usage.Treatment initiation with statins (statin users) or with H2-blockers or proton pump inhibitors (active comparators).Diabetes progression composite outcome comprised the following: new insulin initiation, increase in the number of glucose-lowering medication classes, incidence of 5 or more measurements of blood glucose of 200 mg/dL or greater, or a new diagnosis of ketoacidosis or uncontrolled diabetes.From the 705â€¯774 eligible patients, we matched 83â€¯022 pairs of statin users and active comparators; the matched cohort had a mean (SD) age of 60.1 (11.6) years; 78 712 (94.9%) were men; 1715 (2.1%) were American Indian/Pacific Islander/Alaska Native, 570 (0.8%) were Asian, 17 890 (21.5%) were Black, and 56 633 (68.2 %) were White individuals. Diabetes progression outcome occurred in 55.9% of statin users vs 48.0% of active comparators (odds ratio, 1.37; 95% CI, 1.35-1.40; Pâ€‰<â€‰.001). Each individual component of the composite outcome was significantly higher among statin users. Secondary analysis demonstrated a dose-response relationship with a higher intensity of low-density lipoprotein-cholesterol lowering associated with greater diabetes progression.This retrospective matched-cohort study found that statin use was associated with diabetes progression, including greater likelihood of insulin treatment initiation, significant hyperglycemia, acute glycemic complications, and an increased number of prescriptions for glucose-lowering medication classes. The risk-benefit ratio of statin use in patients with diabetes should take into consideration its metabolic effects.","Blood Glucose, Cardiovascular Diseases, Diabetes Mellitus, Disease Progression, Female, Follow-Up Studies, Humans, Hydroxymethylglutaryl-CoA Reductase Inhibitors, Male, Middle Aged, Retrospective Studies, United States, Veterans",no,yes,sa,yes,SA,34605849.0, Association of Statin Therapy Initiation With Diabetes Progression: A Retrospective Matched-Cohort Study ,no,yes,yes,Unknown,,False
12733171,"The ethnic characteristics and prevalence of diabetes mellitus, hypertension and hyperlipidaemia in patients who underwent coronary artery bypass grafting in Hospital Universiti Kebangsaan Malaysia","A retrospective study was done on 302 patients who had undergone coronary artery bypass grafting (CABG) in Hospital Universiti Kebangsaan Malaysia--46.0% were Chinese, 40.1% were Malays and 11.6% were Indians. Overall and irrespective of race and sex, the prevalence of diabetes mellitus, hypertension and hyperlipidaemia was 45.7%, 78.8% and 89.1% respectively indicating that hyperlipidaemia was the most prevalent risk factor amongst this cohort. The Indians had the highest prevalence of the three risk factors. The Chinese and the Malays most frequently presented with the combination of hypertension and hyperlipidaemia.","Adult, Aged, Coronary Artery Bypass, Coronary Artery Disease, Diabetes Mellitus, Female, Hospitals, University, Humans, Hyperlipidemias, Hypertension, Malaysia, Male, Middle Aged, Prevalence",no,yes,sa,yes,SA,12733171.0," The ethnic characteristics and prevalence of diabetes mellitus, hypertension and hyperlipidaemia in patients who underwent coronary artery bypass grafting in Hospital Universiti Kebangsaan Malaysia ",no,yes,yes,seap,,False
10617066,Antimalarial use of volatile oil from leaves of Virola surinamensis (Rol.) Warb. by WaiÃ£pi Amazon Indians,"The Amazon Indians WaiÃ£pi living in the West of AmapÃ¡ State of Brazil, treat malaria with an inhalation of vapor obtained from leaves of Viola surinamensis. The essential oil obtained from adult and plantlet leaves was analyzed by GC/MS and 11 monoterpenes, 11 sesquiterpenes and three phenylpropanoids were identified. Plantlet essential oil caused 100% of growth inhibition after 48 h in the development of the young trophozoite to schizont stage and the sesquiterpene nerolidol (100 microg/ml) was identified as one of the active constituents (100% of growth inhibition was obtained). In addition, examination of [U14C]-glucose incorporation showed that activity of nerolidol is related to the inhibition of glycoprotein biosynthesis.","Adult, Antimalarials, Gas Chromatography-Mass Spectrometry, Humans, Indians, South American, Malaria, Oils, Volatile, Plant Leaves, Plant Oils, Plants, Medicinal",no,no,Unknown,yes,SA,10617066.0, Antimalarial use of volatile oil from leaves of Virola surinamensis (Rol.) Warb. by Waiãpi Amazon Indians ,no,no,yes,lac,,False
18299980,Early anti-oxidative and anti-proliferative curcumin effects on neuroglioma cells suggest therapeutic targets,"Curcumin (diferuloyl), from the Indian spice turmeric, reduces oxidative damage and induces apoptosis. Utilizing DNA microarrays, we have demonstrated that a low (5 microM) dose of curcumin added to a mixture of astrocytes and oligodendrocytes (C6 rat glioma cells) in culture for 24 and 48 h significantly modulates gene expression in four primary pathways: oxidative stress, cell cycle control, and DNA transcription and metabolism. Contribution of the pentose phosphate pathway to the pool of NADH upregulates glutathione and activates aldehyde oxidase. We have identified also several new genes, up- or downregulated by curcumin, namely, aldo-keto reductase, glucose-6-phosphate dehydrogenase, and aldehyde oxidase that protect against oxidative stress. The identification of several new cell cycle control genes, including the apoptosis-related protein (pirin) and insulin-like growth factor (IGF), and of the neurofilament M protein involved in neurogenesis suggests that curcumin may have applicability in the treatment of a spectrum of neurodegenerative diseases.","Animals, Antioxidants, Cell Line, Tumor, Cell Proliferation, Cluster Analysis, Curcumin, Gene Expression Profiling, Gene Expression Regulation, Glioma, Oligodendroglia, Oligonucleotide Array Sequence Analysis, Rats",no,no,Unknown,yes,SA,18299980.0, Early anti-oxidative and anti-proliferative curcumin effects on neuroglioma cells suggest therapeutic targets ,no,no,yes,none,,False
22115177,"The triad of erectile dysfunction, testosterone deficiency syndrome and metabolic syndrome: findings from a multi-ethnic Asian men study (The Subang Men's Health Study)","The etiology of erectile dysfunction (ED) is multi-factorial. This paper examines the association between ED, testosterone deficiency syndrome (TDS) and metabolic syndrome (MS) in Malaysian men in an urban setting. One thousand and forty-six men aged â‰¥ 40 years from Subang Jaya, Malaysia were randomly selected from an electoral-roll list. The men completed questionnaires that included: socio-demographic data, self-reported medical problems and the International Index of erectile function (IIEF-5). Physical examination and the following biochemical tests were performed: lipid profile, fasting blood glucose (FBG) and total testosterone. The response rate was 62.8% and the mean age of men was 55.8 Â± 8.4 (41-93) years. Ethnic distribution was Chinese, 48.9%; Malay, 34.5%; Indian, 14.8%. The prevalence of moderate-severe ED was 20.0%, while 16.1% of men had TDS (< 10.4 nmol/L) and 31.3% of men had MS. Indian and Malay men were significantly more likely to have ED (p â€‰= 0.001), TDS (p â€‰< 0.001) and MS (p < 0.001) than the Chinese. Multivariate regression analysis showed that elevated blood pressure, elevated FBG, low high-density lipoprotein and heart disease were predictors of ED while all MS components were independently associated with TDS. Malay and Indian men have a higher disease burden compared to Chinese men and were more likely to suffer with ED, TDS and MS. MS components were closely related to TDS and ED.","Adult, Aged, Aged, 80 and over, Asian People, Blood Glucose, Erectile Dysfunction, Heart Diseases, Humans, Hypertension, Lipids, Lipoproteins, HDL, Malaysia, Male, Men's Health, Metabolic Syndrome, Middle Aged, Prevalence, Severity of Illness Index, Surveys and Questionnaires, Testosterone",no,no,sa,yes,SA,22115177.0," The triad of erectile dysfunction, testosterone deficiency syndrome and metabolic syndrome: findings from a multi-ethnic Asian men study (The Subang Men's Health Study) ",no,no,yes,seap,,False
29203734,"Effect of pioglitazone on insulin resistance, progression of atherosclerosis and clinical course of coronary heart disease","Introduction: Pioglitazone, a medication of thiazolidinedione group, is capable of triggering the peroxisome proliferator-activated receptors (PPAR-Î³). Activation of receptor PPAR-Î³ regulates carbohydrate and lipid metabolism, immune and inflammatory responses in heart tissues._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
The aim: Our aim was to study the effect of pioglitazone on insulin resistance, the clinical course of atherosclerosis and coronary heart disease (CHD)._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Materials and methods: The study included 43 patients with coronary artery disease. Patients were divided into the main group - 20 patients, in whom pioglitazone (Pioglar, Ranbaxy, India) was included in the combined therapy at a dose of 15 mg 1 time per day in the morning, and the comparison group - 23 patients receiving standard complex drug therapy over 6 months. Patients underwent clinical examination, ultrasound of neck vessels, study of carbohydrate and lipid metabolism._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Results: Joining pioglitazone to standard therapy resulted in the reduction of systolic (p<0.05) and diastolic (p<0.05) blood pressure; decrease in the duration of pain attacks (p<0.05); reduction in the frequency of angina attacks (p<0.05); regression of atherosclerosis of the carotid vessels (p<0.05), decrease in the thickness of the intima-media complex (p<0.05). The decline in oral glucose tolerance test (p<0.05), hyperglycemic factor (p<0.05), total cholesterol (p<0.05), and low density lipoproteins (p<0.05) were observed, as well as increased high-density lipoprotein (p<0.05)._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Conclusion: Long-term treatment with pioglitazone at low doses against the background of standard therapy contributes to functional and clinical condition of patients, promotes the prevention of atherosclerosis and reduction of insulin resistance, thereby improving the clinical manifestations of coronary heart disease.","Aged, Atherosclerosis, Cardiovascular Agents, Drug Therapy, Combination, Female, Humans, Hypoglycemic Agents, Insulin Resistance, Male, Middle Aged, Pioglitazone, Thiazolidinediones, Treatment Outcome, Ultrasonography",no,no,sa,yes,SA,29203734.0," Effect of pioglitazone on insulin resistance, progression of atherosclerosis and clinical course of coronary heart disease ",no,yes,yes,cee,,False
35169870,Epigenome-wide association study of incident type 2 diabetes: a meta-analysis of five prospective European cohorts,"Type 2 diabetes is a complex metabolic disease with increasing prevalence worldwide. Improving the prediction of incident type 2 diabetes using epigenetic markers could help tailor prevention efforts to those at the highest risk. The aim of this study was to identify predictive methylation markers for incident type 2 diabetes by combining epigenome-wide association study (EWAS) results from five prospective European cohorts.We conducted a meta-analysis of EWASs in blood collected 7-10Â years prior to type 2 diabetes diagnosis. DNA methylation was measured with Illumina Infinium Methylation arrays. A total of 1250 cases and 1950 controls from five longitudinal cohorts were included: Doetinchem, ESTHER, KORA1, KORA2 and EPIC-Norfolk. Associations between DNA methylation and incident type 2 diabetes were examined using robust linear regression with adjustment for potential confounders. Inverse-variance fixed-effects meta-analysis of cohort-level individual CpG EWAS estimates was performed using METAL. The methylGSA R package was used for gene set enrichment analysis. Confirmation of genome-wide significant CpG sites was performed in a cohort of Indian Asians (LOLIPOP, UK).The meta-analysis identified 76 CpG sites that were differentially methylated in individuals with incident type 2 diabetes compared with control individuals (p values <1.1â€‰Ã—â€‰10-7). Sixty-four out of 76 (84.2%) CpG sites were confirmed by directionally consistent effects and p values <0.05 in an independent cohort of Indian Asians. However, on adjustment for baseline BMI only four CpG sites remained genome-wide significant, and addition of the 76 CpG methylation risk score to a prediction model including established predictors of type 2 diabetes (age, sex, BMI and HbA1c) showed no improvement (AUC 0.757 vs 0.753). Gene set enrichment analysis of the full epigenome-wide results clearly showed enrichment of processes linked to insulin signalling, lipid homeostasis and inflammation.By combining results from five European cohorts, and thus significantly increasing study sample size, we identified 76 CpG sites associated with incident type 2 diabetes. Replication of 64 CpGs in an independent cohort of Indian Asians suggests that the association between DNA methylation levels and incident type 2 diabetes is robust and independent of ethnicity. Our data also indicate that BMI partly explains the association between DNA methylation and incident type 2 diabetes. Further studies are required to elucidate the underlying biological mechanisms and to determine potential causal roles of the differentially methylated CpG sites in type 2 diabetes development.Â© 2022. The Author(s).","CpG Islands, DNA Methylation, Diabetes Mellitus, Type 2, Epigenesis, Genetic, Epigenome, Genome-Wide Association Study, Humans, Prospective Studies",yes,yes,sa,yes,SA,35169870.0, Epigenome-wide association study of incident type 2 diabetes: a meta-analysis of five prospective European cohorts ,yes,yes,yes,we,,False
30830355,Urine metabolites are associated with glomerular lesions in type 2 diabetes,"Little is known about the association of urine metabolites with structural lesions in persons with diabetes.We examined the relationship between 12 urine metabolites and kidney structure in American Indians with type 2 diabetes.Data were from a 6-year clinical trial that assessed renoprotective efficacy of losartan, and included a kidney biopsy at the end of the treatment period. Metabolites were measured in urine samples collected within a median of 6.5Â months before the research biopsy. Associations of the creatinine-adjusted urine metabolites with kidney structural variables were examined by Pearson's correlations and multivariable linear regression after adjustment for age, sex, diabetes duration, hemoglobin A1c, mean arterial pressure, glomerular filtration rate (iothalamate), and losartan treatment.Participants (nâ€‰=â€‰62, mean age 45â€‰Â±â€‰10Â years) had meanâ€‰Â±â€‰standard deviation glomerular filtration rate of 137â€‰Â±â€‰50Â ml/min and median (interquartile range) urineÂ albumin:creatinine ratio of 34 (14-85) mg/g near the time of the biopsy. Urine aconitic and glycolic acids correlated positively with glomerular filtration surface density (partial râ€‰=â€‰0.29, Pâ€‰=â€‰0.030 and râ€‰=â€‰0.50, Pâ€‰<â€‰0.001) and total filtration surface per glomerulus (partial râ€‰=â€‰0.32, Pâ€‰=â€‰0.019 and râ€‰=â€‰0.43, Pâ€‰=â€‰0.001). 2-ethyl 3-OH propionate correlated positively with the percentage of fenestrated endothelium (partial râ€‰=â€‰0.32, Pâ€‰=â€‰0.019). Citric acid correlated negatively with mesangial fractional volume (partial r=-0.36, Pâ€‰=â€‰0.007), and homovanillic acid correlated negatively with podocyte foot process width (partial r=-0.31, Pâ€‰=â€‰0.022).Alterations of urine metabolites may associate with early glomerular lesions in diabetic kidney disease.","Adult, Biomarkers, Cross-Sectional Studies, Diabetes Mellitus, Type 2, Diabetic Nephropathies, Female, Glomerular Filtration Rate, Humans, Indians, North American, Kidney Function Tests, Male, Metabolome, Middle Aged",no,yes,sa,yes,SA,30830355.0, Urine metabolites are associated with glomerular lesions in type 2 diabetes ,yes,yes,yes,Unknown,,False
